1,1024,1,28.9891
2,1024,1,22.3196
3,1024,1,22.713
4,1024,1,22.4905
1,1024,1,29.106
2,1024,1,22.4127
3,1024,1,22.5784
4,1024,1,22.5881
1,2048,1,227.691
1,2048,1,224.893
2,2048,1,180.032
2,2048,1,176.566
3,2048,1,177.937
3,2048,1,176.796
4,2048,1,178.893
1,1024,1,29.1625
2,1024,1,22.4193
3,1024,1,22.4569
4,1024,1,22.6562
4,2048,1,180.649
1,2048,1,226.514
2,2048,1,176.376
3,2048,1,177.739
4,2048,1,177.625
1,4096,1,1782.82
1,4096,1,1810.01
1,4096,1,1786.88
2,4096,1,1376.7
2,4096,1,1403.52
2,4096,1,1397.97
3,4096,1,1407.66
3,4096,1,1423.82
4,4096,1,1393.11
4,4096,1,1401.69
